year,month,stateDescription,sectorName,customers,price,revenue,sales
2001,1,Wyoming,all sectors,,4.31,48.1284,1116.17208
2001,1,Wyoming,commercial,,5.13,12.67978,247.08691
2001,1,Wyoming,industrial,,3.26,19.60858,602.30484
2001,1,Wyoming,other,,4.75,0.76868,16.17442
2001,1,Wyoming,residential,,6.01,15.07136,250.60591
2001,1,New England,all sectors,,10.73,1139.8952,10622.88375
2001,1,South Carolina,other,,6.57,5.28332,80.41336
2001,1,South Carolina,residential,,7.36,225.81673,3066.25911
2001,1,South Dakota,all sectors,,5.85,46.98518,803.24177
2001,1,South Dakota,commercial,,5.95,15.92044,267.66283
2001,1,South Dakota,industrial,,4.31,5.16366,119.68236
2001,1,South Dakota,other,,3.47,1.38114,39.74549
2001,1,South Dakota,residential,,6.52,24.51994,376.15108
2001,1,Tennessee,all sectors,,5.59,539.11548,9648.54559
2001,1,Tennessee,commercial,,6.16,122.55831,1990.33357
2001,1,Tennessee,industrial,,4.29,125.91353,2937.15583
2001,1,Tennessee,other,,8.51,7.81728,91.80923
2001,1,Tennessee,residential,,6.11,282.82636,4629.24696
2001,1,Texas,all sectors,,6.9,1903.81241,27583.76887
2001,1,Texas,commercial,,7.65,537.65515,7026.81769
2001,1,Texas,industrial,,5.12,407.75797,7969.00543
2001,1,Texas,other,,6.97,80.10439,1149.37586
2001,1,Texas,residential,,7.68,878.2949,11438.5699
2001,1,Utah,all sectors,,4.67,95.25759,2039.95489
2001,1,Utah,commercial,,4.88,32.43397,664.16908
2001,1,Utah,industrial,,3.31,23.92237,723.16958
2001,1,Utah,other,,4.15,2.84782,68.59977
2001,1,Utah,residential,,6.17,36.05342,584.01646
2001,1,Vermont,all sectors,,10.95,57.13107,521.78491
2001,1,Vermont,commercial,,11.24,18.9519,168.65645
2001,1,Vermont,industrial,,8.24,11.6047,140.85795
2001,1,Vermont,other,,15.33,0.56158,3.66406
2001,1,Vermont,residential,,12.47,26.01289,208.60644
2001,1,Virginia,all sectors,,5.86,561.38052,9575.83865
2001,1,Virginia,commercial,,5.56,141.34424,2542.30495
2001,1,Virginia,industrial,,4.23,68.62561,1622.86999
2001,1,Virginia,other,,4.75,42.58045,896.63378
2001,1,Virginia,residential,,6.84,308.83021,4514.02993
2001,1,Washington,all sectors,,4.79,440.50524,9204.63376
2001,1,Washington,commercial,,4.95,109.69319,2215.59752
2001,1,Washington,industrial,,4.46,119.88695,2688.58893
2001,1,Washington,other,,4.31,14.31519,332.31713
2001,1,Washington,residential,,4.95,196.60991,3968.13018
2001,1,West Virginia,all sectors,,4.98,148.07544,2973.23837
2001,1,West Virginia,commercial,,5.26,34.39082,653.58717
2001,1,West Virginia,industrial,,3.58,36.11658,1008.01762
2001,1,West Virginia,other,,9.16,0.66458,7.25289
2001,1,West Virginia,residential,,5.9,76.90346,1304.38068
2001,1,Wisconsin,all sectors,,5.9,335.56099,5689.51118
2001,1,Wisconsin,commercial,,6.08,93.90135,1545.63479
2001,1,Wisconsin,industrial,,4.22,87.88411,2083.55992
2001,1,Wisconsin,other,,7.42,4.83051,65.0638
2001,1,Wisconsin,residential,,7.46,148.94502,1995.25268
2001,1,Alabama,all sectors,,5.54,407.61261,7362.47302
2001,1,Alabama,commercial,,6.44,98.15381,1524.63177
2001,1,Alabama,industrial,,3.94,99.08881,2515.14632
2001,1,Alabama,other,,6.6,3.91073,59.29239
2001,1,Louisiana,other,,8.62,18.24252,211.58218
2001,1,Louisiana,residential,,7.97,195.62682,2453.04974
2001,1,Maine,all sectors,,11.15,119.42813,1071.48042
2001,1,Maine,commercial,,10.33,41.90097,405.51902
2001,1,Maine,industrial,,9.54,26.14207,273.94675
2001,1,Maine,other,,25.23,1.20117,4.7607
2001,1,Maine,residential,,12.96,50.18392,387.25395
2001,1,Maryland,all sectors,,5.93,350.82797,5921.09634
2001,1,Maryland,commercial,,5.35,120.58407,2253.4837
2001,1,Maryland,industrial,,4.47,36.1268,808.87806
2001,1,Maryland,other,,8.76,6.68282,76.30771
2001,1,Maryland,residential,,6.74,187.43428,2782.42686
2001,1,Massachusetts,all sectors,,10.9,507.58804,4658.51429
2001,1,Massachusetts,commercial,,10.53,214.05919,2032.17703
2001,1,Massachusetts,industrial,,9.32,70.20187,753.5532
2001,1,Massachusetts,other,,14.1,8.17752,58.00813
2001,1,Massachusetts,residential,,11.86,215.14946,1814.77594
2001,1,Michigan,all sectors,,7.02,621.80929,8860.09969
2001,1,Michigan,commercial,,7.48,217.91513,2911.47399
2001,1,Michigan,industrial,,5.19,139.34083,2685.53772
2001,1,Michigan,other,,9.24,7.87051,85.13367
2001,1,Michigan,residential,,8.08,256.68281,3177.95431
2001,1,Minnesota,all sectors,,5.54,295.24614,5328.80942
2001,1,Minnesota,commercial,,4.98,108.75701,2185.51252
2001,1,Minnesota,industrial,,4.32,54.92374,1269.95668
2001,1,Minnesota,other,,6.79,4.26187,62.78818
2001,1,Minnesota,residential,,7.03,127.30352,1810.55204
2001,1,Mississippi,all sectors,,5.93,234.07006,3947.3157
2001,1,Mississippi,commercial,,6.85,61.14577,892.9499
2001,1,Mississippi,industrial,,4.39,53.99172,1229.91726
2001,1,Mississippi,other,,8.25,5.45802,66.1706
2001,1,New England,commercial,,10.3,440.09199,4273.55712
2001,1,New England,industrial,,9.04,166.57391,1843.11145
2001,1,New England,other,,12.89,17.2376,133.68661
2001,1,New England,residential,,11.8,515.99171,4372.52858
2001,1,Middle Atlantic,all sectors,,9.5,3016.86287,31762.59213
2001,1,Pacific Contiguous,all sectors,,7.2,2576.31481,35775.6531
2001,1,Pacific Contiguous,commercial,,7.92,896.69452,11316.35526
2001,1,Pacific Contiguous,industrial,,5.16,506.5052,9819.00524
2001,1,Pacific Contiguous,other,,5.17,67.37991,1302.97065
2001,1,Pacific Contiguous,residential,,8.29,1105.73517,13337.32195
2001,1,Pacific Noncontiguous,all sectors,,12.78,171.18072,1339.70448
2001,1,Pacific Noncontiguous,commercial,,12.77,58.38352,457.04166
